no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
4,Graduate,0,600000,1400000,4,507,400000,Rejected,400000,2.333329444450926,3.499991250021875
2,Not Graduate,1,4100000,11400000,14,505,5500000,Rejected,5500000,2.7804871267104567,2.072726895867837
0,Not Graduate,1,800000,3200000,8,467,800000,Rejected,800000,3.99999500000625,3.99999500000625
2,Not Graduate,0,6600000,22900000,16,543,8500000,Rejected,8500000,3.4696964439853875,2.6941173301038437
4,Graduate,1,300000,1100000,12,674,200000,Approved,200000,3.666654444485185,5.499972500137499
3,Graduate,0,6100000,13500000,2,717,3400000,Approved,3400000,2.2131143912927227,3.970587067474392
5,Not Graduate,1,4800000,17000000,10,666,2900000,Approved,2900000,3.541665928819598,5.862066944114847
4,Not Graduate,0,4500000,17300000,18,830,2500000,Approved,2500000,3.8444435901236464,6.919997232001108
2,Graduate,0,3800000,9400000,16,383,2300000,Rejected,2300000,2.473683559556958,4.086954744802285
2,Graduate,1,7000000,18900000,8,584,5000000,Approved,5000000,2.6999996142857694,3.7799992440001513
2,Not Graduate,0,4400000,14200000,18,799,2400000,Approved,2400000,3.2272719938018195,5.916664201389916
5,Graduate,0,5300000,19400000,6,510,3700000,Rejected,3700000,3.660376667853459,5.243241826150858
0,Not Graduate,1,2600000,5900000,6,572,3800000,Approved,3800000,2.2692298964500397,1.5526311703602182
3,Not Graduate,0,3300000,13100000,2,554,3800000,Approved,3800000,3.9696957667588584,3.4473675138506543
1,Not Graduate,1,1200000,4800000,6,344,1300000,Rejected,1300000,3.9999966666694444,3.6923048520731907
3,Graduate,0,4300000,8600000,8,881,5500000,Approved,5500000,1.999999534883829,1.5636360793388946
0,Not Graduate,1,8400000,27200000,10,514,7200000,Rejected,7200000,3.2380948526077558,3.7777772530864926
0,Graduate,0,600000,1800000,18,796,500000,Approved,500000,2.9999950000083335,3.5999928000144
2,Graduate,1,4700000,16200000,12,802,6700000,Approved,6700000,3.446807777274941,2.4179100868790915
3,Graduate,0,4200000,12500000,20,375,2400000,Rejected,2400000,2.9761897675738647,5.208331163195349
2,Graduate,0,4300000,14700000,2,871,4400000,Approved,4400000,3.4186038561386383,3.3409083316117427
0,Not Graduate,0,800000,2900000,2,439,1200000,Approved,1200000,3.6249954687556643,2.416664652779456
0,Not Graduate,1,9300000,32000000,8,438,12400000,Rejected,12400000,3.4408598450688337,2.580644953173794
5,Not Graduate,0,6200000,13700000,2,468,5500000,Rejected,5500000,2.2096770629553126,2.490908638016611
3,Graduate,1,3500000,10200000,12,645,2400000,Approved,2400000,2.914284881632891,4.249998229167405
2,Graduate,1,3600000,9200000,18,700,3500000,Approved,3500000,2.5555548456792097,2.628570677551235
5,Graduate,1,9500000,36700000,16,348,11400000,Rejected,11400000,3.8631574880886856,3.2192979632194767
5,Graduate,1,600000,1400000,10,877,700000,Approved,700000,2.333329444450926,1.9999971428612244
0,Not Graduate,1,3800000,14900000,6,899,2800000,Approved,2800000,3.9210515997232633,5.321426670919046
3,Graduate,1,1400000,3500000,12,610,1400000,Approved,1400000,2.4999982142869897,2.4999982142869897
1,Not Graduate,0,6300000,23900000,4,742,4300000,Approved,4300000,3.7936501914840965,5.558138242293432
1,Not Graduate,1,2800000,6600000,18,801,3700000,Approved,3700000,2.3571420153064233,1.7837833016801887
4,Graduate,1,5400000,17100000,2,533,4700000,Approved,4700000,3.166666080247022,3.63829709823466
3,Not Graduate,1,6300000,23900000,16,656,5100000,Approved,5100000,3.7936501914840965,4.686273590926747
3,Graduate,1,3900000,14300000,18,785,4900000,Approved,4900000,3.6666657264959674,2.9183667513537244
2,Graduate,1,4200000,15700000,2,332,3000000,Approved,3000000,3.7380943480727744,5.23333158888947
0,Graduate,0,3100000,8100000,18,768,2400000,Approved,2400000,2.612902382934715,3.3749985937505858
1,Graduate,0,3400000,8600000,6,640,4400000,Approved,4400000,2.5294110207614646,1.9545450103306794
4,Not Graduate,0,1500000,3100000,6,885,1900000,Approved,1900000,2.0666652888898076,1.6315780886431113
3,Not Graduate,1,900000,2000000,18,772,800000,Approved,800000,2.2222197530891634,2.499996875003906
4,Graduate,1,7800000,25600000,4,665,8200000,Approved,8200000,3.282050861275531,3.121950838786483
1,Not Graduate,1,3500000,10500000,20,454,2100000,Rejected,2100000,2.9999991428573876,4.999997619048753
1,Not Graduate,0,8400000,32500000,14,698,12200000,Approved,12200000,3.869047158446767,2.663934207874245
4,Not Graduate,1,6400000,21300000,20,332,8000000,Rejected,8000000,3.32812447998055,2.6624996671875416
1,Not Graduate,0,9600000,28300000,6,536,6000000,Rejected,6000000,2.9479163595920457,4.716665880555687
5,Not Graduate,1,2100000,6500000,10,796,2700000,Approved,2700000,3.0952366213158946,2.4074065157753646
2,Not Graduate,1,6000000,19900000,8,486,6600000,Rejected,6600000,3.316666113888981,3.0151510583104457
0,Not Graduate,1,8300000,16800000,18,422,11400000,Rejected,11400000,2.0240961416751637,1.4736840812557823
1,Not Graduate,1,5300000,18500000,6,501,4300000,Rejected,4300000,3.4905653791386078,4.302324580854749
1,Not Graduate,1,9700000,23500000,4,666,8000000,Approved,8000000,2.4226801626102925,2.937499632812546
3,Not Graduate,1,8200000,16500000,18,371,8200000,Rejected,8200000,2.0121948765616002,2.0121948765616002
5,Graduate,0,3400000,6900000,14,312,3800000,Rejected,3800000,2.029411167820245,1.815788995845001
5,Graduate,0,2800000,11000000,12,753,2400000,Approved,2400000,3.928570025510705,4.583331423611907
0,Not Graduate,1,2400000,5200000,16,740,2900000,Approved,2900000,2.1666657638892652,1.7931028299645413
1,Graduate,0,8200000,24000000,4,366,10400000,Rejected,10400000,2.926828911362328,2.307692085798838
4,Not Graduate,0,4200000,11100000,8,526,4900000,Rejected,4900000,2.642856513605592,2.265305660141702
4,Graduate,1,5500000,14800000,10,354,7700000,Rejected,7700000,2.6909086016529815,1.922077672457445
5,Not Graduate,1,2900000,6300000,6,719,1600000,Approved,1600000,2.172413043995502,3.937497539064038
5,Not Graduate,0,6300000,20100000,12,774,5800000,Approved,5800000,3.1904756840514787,3.4655166438764407
5,Not Graduate,1,9700000,29100000,18,732,12400000,Approved,12400000,2.9999996907216815,2.3467740042924192
1,Not Graduate,0,6500000,16000000,6,862,9700000,Approved,9700000,2.461538082840295,1.6494843660325396
5,Not Graduate,0,4900000,10800000,18,613,5300000,Approved,5300000,2.204081182840575,2.037735464578214
5,Graduate,1,6900000,16500000,6,447,6600000,Rejected,6600000,2.3913040012602895,2.4999996212121784
4,Not Graduate,1,1100000,3000000,4,730,1100000,Approved,1100000,2.727270247936138,2.727270247936138
2,Not Graduate,1,7800000,29600000,14,568,7200000,Approved,7200000,3.7948713083498324,4.111110540123536
2,Graduate,1,8200000,23600000,6,495,6100000,Rejected,6100000,2.878048429506289,3.8688518247783894
5,Not Graduate,1,6700000,23600000,14,854,7500000,Approved,7500000,3.52238753397201,3.1466662471111673
3,Graduate,1,7400000,15200000,10,548,4800000,Rejected,4800000,2.0540537764792193,3.166666006944582
1,Not Graduate,0,1200000,2700000,14,779,600000,Approved,600000,2.2499981250015626,4.4999925000125
0,Not Graduate,0,9500000,24800000,2,564,12000000,Approved,12000000,2.610526040997259,2.066666494444459
5,Not Graduate,1,4000000,8200000,2,571,4400000,Approved,4400000,2.049999487500128,1.863635940082741
0,Not Graduate,1,8600000,32600000,8,778,11000000,Approved,11000000,3.7906972336398566,2.9636360942149005
4,Graduate,1,9100000,28400000,12,808,9700000,Approved,9700000,3.120878777925409,2.927834749707758
0,Not Graduate,1,7100000,18600000,20,770,5100000,Approved,5100000,2.6197179408847973,3.6470581084199787
0,Not Graduate,0,9000000,28400000,4,612,13200000,Approved,13200000,3.1555552049383104,2.151514988521592
3,Graduate,1,1400000,2700000,14,819,1300000,Approved,1300000,1.9285700510213921,2.07692147929117
1,Graduate,0,8800000,20200000,6,627,11900000,Approved,11900000,2.2954542846074677,1.6974788489513573
3,Not Graduate,1,5400000,14700000,4,359,6100000,Rejected,6100000,2.722221718107089,2.4098356705187425
1,Graduate,0,6100000,19100000,6,341,6300000,Rejected,6300000,3.1311470276808153,3.0317455505165793
1,Graduate,0,1000000,3600000,4,570,1000000,Approved,1000000,3.5999964000036,3.5999964000036
3,Graduate,1,7700000,18100000,20,736,10000000,Approved,10000000,2.350649045370254,1.8099998190000182
1,Graduate,1,6100000,12900000,2,302,7200000,Rejected,7200000,2.114753751679713,1.7916664178241086
2,Not Graduate,1,7700000,21000000,12,420,10500000,Rejected,10500000,2.72727237308151,1.9999998095238276
4,Graduate,1,4700000,12000000,2,416,6800000,Rejected,6800000,2.553190946129586,1.7647056228374085
2,Graduate,1,9100000,34800000,20,836,9900000,Approved,9900000,3.824175403936769,3.5151511600857415
0,Graduate,1,5800000,12700000,12,528,7600000,Rejected,7600000,2.189654794887104,1.67105241170363
4,Not Graduate,0,8500000,24900000,2,405,11400000,Rejected,11400000,2.9294114200692447,2.184210334718392
2,Graduate,1,9900000,33400000,14,783,9500000,Approved,9500000,3.373737032955855,3.515789103601147
4,Not Graduate,1,2000000,4000000,10,636,1700000,Approved,1700000,1.9999990000005,2.3529397923883573
1,Not Graduate,1,5000000,16800000,6,711,3200000,Approved,3200000,3.3599993280001343,5.249998359375513
1,Graduate,1,3200000,11800000,16,848,2300000,Approved,2300000,3.68749884765661,5.130432551985847
1,Not Graduate,1,8000000,27800000,8,804,11800000,Approved,11800000,3.4749995656250543,2.355932003734576
0,Not Graduate,1,1200000,2800000,14,892,1700000,Approved,1700000,2.3333313888905094,1.6470578546718502
2,Not Graduate,1,5800000,22800000,14,696,4800000,Approved,4800000,3.9310338049941715,4.749999010416873
1,Graduate,0,2500000,7600000,20,888,1900000,Approved,1900000,3.0399987840004865,3.99999789473795
1,Not Graduate,1,600000,1400000,10,699,800000,Approved,800000,2.333329444450926,1.7499978125027345
5,Graduate,0,4900000,13000000,10,865,6500000,Approved,6500000,2.65306068304884,1.9999996923077397
2,Graduate,1,9400000,37300000,14,383,7700000,Rejected,7700000,3.96808468424631,4.844155215044777
2,Graduate,0,5300000,19300000,16,368,3700000,Rejected,3700000,3.641508746885142,5.216214806428431
5,Not Graduate,0,5100000,15800000,4,607,7000000,Approved,7000000,3.098038608227724,2.257142534693924
4,Not Graduate,1,2900000,8900000,18,827,1600000,Approved,1600000,3.068964458977773,5.562496523439673
1,Graduate,0,9100000,34000000,12,672,8800000,Approved,8800000,3.736263325685349,3.8636359245868266
3,Not Graduate,1,8800000,26700000,12,708,9600000,Approved,9600000,3.0340905643078906,2.7812497102864886
4,Not Graduate,0,2600000,8800000,10,682,1600000,Approved,1600000,3.3846140828407374,5.499996562502148
1,Graduate,1,9700000,25500000,18,741,4900000,Approved,4900000,2.62886570836436,5.204080570595802
5,Not Graduate,1,600000,1200000,8,343,600000,Rejected,600000,1.9999966666722222,1.9999966666722222
0,Graduate,1,4100000,11100000,16,785,4800000,Approved,4800000,2.7073164128496554,2.312499518229267
1,Not Graduate,1,8000000,28000000,20,830,10600000,Approved,10600000,3.499999562500055,2.6415091847632843
2,Graduate,0,8800000,26700000,16,696,10900000,Approved,10900000,3.0340905643078906,2.4495410596751324
1,Graduate,0,200000,300000,12,697,100000,Approved,100000,1.4999925000374998,2.999970000299997
0,Graduate,1,3800000,11700000,2,351,3100000,Approved,3100000,3.078946558171958,3.7741923309056995
3,Graduate,0,6800000,21800000,10,556,5400000,Approved,5400000,3.2058818814879584,4.037036289437724
0,Graduate,0,8600000,31800000,2,895,5100000,Approved,5100000,3.6976739886425594,6.235292895040609
2,Graduate,1,2800000,8400000,10,534,1500000,Rejected,1500000,2.999998928571811,5.599996266669155
0,Graduate,0,8000000,29800000,12,736,8400000,Approved,8400000,3.7249995343750584,3.547618625283497
2,Graduate,1,2300000,5500000,16,629,1900000,Approved,1900000,2.3913033081289963,2.894735318560359
4,Graduate,1,7600000,16200000,20,657,5500000,Approved,5500000,2.131578666897544,2.945454009917453
2,Graduate,0,2900000,11300000,12,839,2600000,Approved,2600000,3.896550380499869,4.346152174556856
4,Not Graduate,0,7900000,25700000,18,589,9800000,Approved,9800000,3.2531641451690954,2.6224487119950295
2,Not Graduate,0,1900000,4500000,6,805,2300000,Approved,2300000,2.3684198060948387,1.956520888469179
3,Not Graduate,1,4600000,13600000,20,729,5900000,Approved,5900000,2.956521096408457,2.3050843550704485
1,Not Graduate,0,2600000,7700000,6,399,3500000,Rejected,3500000,2.961537322485645,2.199999371428751
2,Not Graduate,0,2700000,6700000,8,413,2300000,Rejected,2300000,2.4814805624146064,2.9130422117207777
5,Graduate,1,6300000,13200000,16,321,7100000,Rejected,7100000,2.0952377626606724,1.8591546677246946
0,Graduate,1,2600000,7500000,2,853,1400000,Approved,1400000,2.8846142751483557,5.357139030614978
4,Not Graduate,1,7700000,23400000,6,400,10700000,Rejected,10700000,3.0389606442908255,2.186915683465824
0,Graduate,1,7400000,16300000,16,630,5300000,Approved,5300000,2.2027024050402155,3.075471117835638
3,Graduate,1,7300000,21600000,20,557,9300000,Approved,9300000,2.9589037042597663,2.322580395421463
1,Graduate,0,2900000,7600000,2,358,2100000,Rejected,2100000,2.6206887514866373,3.6190458956924307
3,Graduate,1,6600000,16000000,10,510,6300000,Rejected,6300000,2.424242056933022,2.539682136558391
2,Graduate,1,2700000,9600000,14,554,1900000,Approved,1900000,3.5555542386836154,5.052628919668989
3,Graduate,1,8300000,27700000,4,596,7400000,Approved,7400000,3.337348995500121,3.74324273739963
0,Graduate,0,4900000,18500000,8,659,4900000,Approved,4900000,3.7755094335695034,3.7755094335695034
4,Graduate,1,7900000,30700000,10,322,6300000,Rejected,6300000,3.886075457458803,4.873015099521413
5,Graduate,1,8800000,21300000,14,852,9900000,Approved,9900000,2.420454270402924,2.1515149341904105
5,Not Graduate,0,4000000,14100000,18,653,5400000,Approved,5400000,3.52499911875022,2.611110627572106
4,Graduate,1,3900000,9200000,12,737,5200000,Approved,5200000,2.358973754109294,1.7692304289941483
3,Graduate,1,7700000,18900000,2,583,9300000,Approved,9300000,2.454545135773359,2.03225784599378
1,Graduate,1,3800000,10000000,16,873,4000000,Approved,4000000,2.6315782548478275,2.499999375000156
5,Graduate,0,8000000,27000000,20,595,10400000,Approved,10400000,3.3749995781250526,2.596153596523693
5,Graduate,1,3400000,11300000,20,871,2400000,Approved,2400000,3.323528434256343,4.708331371528595
5,Graduate,1,5500000,18800000,12,603,5000000,Approved,5000000,3.418181196694328,3.7599992480001503
0,Not Graduate,0,7700000,29300000,14,801,4700000,Approved,4700000,3.8051943110137256,6.234041226799739
5,Graduate,0,4000000,9400000,4,723,2000000,Approved,2000000,2.349999412500147,4.699997650001175
5,Not Graduate,1,5900000,22600000,18,630,6800000,Approved,6800000,3.8305078253376568,3.3235289230104526
0,Not Graduate,1,2600000,9900000,20,368,2000000,Rejected,2000000,3.8076908431958296,4.949997525001238
3,Graduate,0,6600000,22200000,12,759,8500000,Approved,8500000,3.3636358539945674,2.611764398615953
0,Not Graduate,1,1000000,3000000,18,382,900000,Rejected,900000,2.999997000003,3.3333296296337447
4,Not Graduate,1,800000,2800000,16,645,600000,Approved,600000,3.499995625005469,4.666658888901852
0,Graduate,0,3200000,6300000,6,878,3600000,Approved,3600000,1.9687493847658173,1.7499995138890239
4,Graduate,0,8400000,23400000,12,350,6700000,Rejected,6700000,2.785713954081672,3.492536792158688
3,Graduate,1,5800000,17600000,6,720,6600000,Approved,6600000,3.0344822354340972,2.666666262626324
0,Not Graduate,1,7300000,28100000,10,673,8900000,Approved,8900000,3.8493145411897887,3.157303016033369
1,Graduate,0,3900000,8000000,6,448,4000000,Rejected,4000000,2.0512815253124295,1.999999500000125
2,Not Graduate,1,4600000,16000000,4,720,4200000,Approved,4200000,3.4782601134217144,3.809522902494547
0,Graduate,0,3600000,12300000,2,300,5400000,Approved,5400000,3.4166657175928563,2.277777355967156
4,Graduate,0,7500000,28700000,20,520,5700000,Rejected,5700000,3.8266661564445124,5.035086835949678
1,Graduate,0,5200000,15000000,12,794,5100000,Approved,5100000,2.8846148298817633,2.94117589388708
3,Graduate,1,4400000,10000000,8,875,4100000,Approved,4100000,2.2727267561984643,2.43902379536005
1,Not Graduate,1,5100000,12900000,14,533,3900000,Rejected,3900000,2.5294112687428885,3.3076914595662923
0,Graduate,0,6000000,23600000,6,776,8800000,Approved,8800000,3.933332677777887,2.6818178770661505
2,Graduate,0,3800000,11400000,6,706,2800000,Approved,2800000,2.9999992105265236,4.071427117347458
3,Graduate,0,2800000,10900000,2,710,3600000,Approved,3600000,3.892855752551517,3.0277769367286287
5,Graduate,1,6500000,18300000,4,333,7000000,Rejected,7000000,2.815384182248587,2.6142853408163798
2,Not Graduate,1,1600000,6400000,4,787,1100000,Approved,1100000,3.9999975000015624,5.818176528930429
4,Graduate,0,5500000,18600000,12,569,7300000,Approved,7300000,3.3818175669422605,2.54794485644591
0,Graduate,1,9600000,20100000,16,427,7400000,Rejected,7400000,2.093749781901064,2.7162158491600206
0,Graduate,0,7000000,27800000,16,640,8200000,Approved,8200000,3.9714280040817136,3.3902434889946966
2,Not Graduate,0,4000000,8100000,16,312,3100000,Rejected,3100000,2.0249994937501268,2.612902382934715
1,Not Graduate,1,8100000,30900000,12,464,7500000,Rejected,7500000,3.814814343850081,4.11999945066674
2,Not Graduate,1,6600000,22800000,8,490,6400000,Rejected,6400000,3.454544931129556,3.562499443359462
5,Graduate,0,4100000,10200000,12,431,4300000,Rejected,4300000,2.487804271267251,2.372092471606402
1,Graduate,0,6600000,24800000,4,500,6100000,Approved,6100000,3.7575751882461836,4.065573104004409
4,Graduate,0,5100000,12200000,14,511,3400000,Rejected,3400000,2.3921563936948247,3.5882342387546355
4,Graduate,0,8200000,25200000,18,691,10500000,Approved,10500000,3.0731703569304445,2.399999771428593
1,Not Graduate,1,9500000,24400000,14,696,6300000,Approved,6300000,2.5684207822714966,3.8730152582515465
0,Not Graduate,1,7600000,27600000,2,437,6800000,Approved,6800000,3.6315784695291486,4.05882293252604
2,Not Graduate,1,8400000,20800000,12,335,10100000,Rejected,10100000,2.4761901814059306,2.059405736692501
